seme,insieme,n_finestre,RMSE,SS,parametri,composizione,n_blocchi,n_finestre_train
0,test_ood,150,0.05684458091855049,-48.95558166503906,16705,eterogenea,6,439
1,train,439,0.8589758276939392,0.2664005160331726,16705,eterogenea,6,439
1,validation,158,0.03960064798593521,-33.397552490234375,16705,eterogenea,6,439
1,test_id,172,0.3135968744754791,-807.9655151367188,16705,eterogenea,6,439
1,test_ood,150,0.07262098044157028,-80.5323715209961,16705,eterogenea,6,439
2,train,439,0.09025447070598602,0.9919009208679199,16705,eterogenea,6,439
2,validation,158,0.012168250977993011,-2.247725486755371,16705,eterogenea,6,439
2,test_id,172,0.02512633055448532,-4.193315029144287,16705,eterogenea,6,439
2,test_ood,150,0.011830555275082588,-1.1637952327728271,16705,eterogenea,6,439
0,train,457,0.14982293546199799,0.9767670035362244,16705,eterogenea,7,457
0,validation,158,0.01489645428955555,-3.867307186126709,16705,eterogenea,7,457
0,test_id,172,0.17482274770736694,-250.40989685058594,16705,eterogenea,7,457
0,test_ood,150,0.02728206478059292,-10.506953239440918,16705,eterogenea,7,457
1,train,457,0.8589370250701904,0.23639124631881714,16705,eterogenea,7,457
1,validation,158,0.02440972812473774,-12.069195747375488,16705,eterogenea,7,457
1,test_id,172,0.25609397888183594,-538.4923095703125,16705,eterogenea,7,457
1,test_ood,150,0.06061439961194992,-55.80120086669922,16705,eterogenea,7,457
2,train,457,1.0723727941513062,-0.19025444984436035,16705,eterogenea,7,457
2,validation,158,0.015706181526184082,-4.410833835601807,16705,eterogenea,7,457
2,test_id,172,2.04050874710083,-34249.22265625,16705,eterogenea,7,457
2,test_ood,150,0.04545598477125168,-30.94390869140625,16705,eterogenea,7,457
0,train,475,0.2387312352657318,0.9386882781982422,16705,eterogenea,8,475
0,validation,158,0.011062034405767918,-1.6840648651123047,16705,eterogenea,8,475
0,test_id,172,1.8886781930923462,-29341.859375,16705,eterogenea,8,475
0,test_ood,150,0.017553528770804405,-3.763594150543213,16705,eterogenea,8,475
1,train,475,0.8298200964927673,0.25921374559402466,16705,eterogenea,8,475
1,validation,158,0.036937933415174484,-28.927345275878906,16705,eterogenea,8,475
1,test_id,172,0.36913982033729553,-1119.9036865234375,16705,eterogenea,8,475
1,test_ood,150,0.0884597972035408,-119.97560119628906,16705,eterogenea,8,475
2,train,475,0.8802311420440674,0.1664752960205078,16705,eterogenea,8,475
2,validation,158,0.07814525067806244,-132.94549560546875,16705,eterogenea,8,475
2,test_id,172,0.262064129114151,-563.9391479492188,16705,eterogenea,8,475
2,test_ood,150,0.07413424551486969,-83.96569061279297,16705,eterogenea,8,475
0,train,500,0.6217228770256042,0.5626866221427917,16705,eterogenea,9,500
0,validation,158,0.026898229494690895,-14.869760513305664,16705,eterogenea,9,500
0,test_id,172,3.2899534702301025,-89035.078125,16705,eterogenea,9,500
0,test_ood,150,0.045120008289813995,-30.473438262939453,16705,eterogenea,9,500
1,train,500,0.8302524089813232,0.22013521194458008,16705,eterogenea,9,500
1,validation,158,0.03264607489109039,-22.376794815063477,16705,eterogenea,9,500
1,test_id,172,0.3528837561607361,-1023.353515625,16705,eterogenea,9,500
1,test_ood,150,0.08783512562513351,-118.2730484008789,16705,eterogenea,9,500
2,train,500,0.8289668560028076,0.22254842519760132,16705,eterogenea,9,500
2,validation,158,0.05019041895866394,-54.254119873046875,16705,eterogenea,9,500
2,test_id,172,0.36289843916893005,-1082.3199462890625,16705,eterogenea,9,500
2,test_ood,150,0.07843326032161713,-94.10566711425781,16705,eterogenea,9,500
0,train,518,0.5687729716300964,0.6208385825157166,16705,eterogenea,10,518
0,validation,158,0.016599783673882484,-5.0440473556518555,16705,eterogenea,10,518
0,test_id,172,0.37374386191368103,-1148.038818359375,16705,eterogenea,10,518
0,test_ood,150,0.02324225939810276,-7.351462364196777,16705,eterogenea,10,518
1,train,518,0.813361644744873,0.22462183237075806,16705,eterogenea,10,518
1,validation,158,0.03155669569969177,-20.84268569946289,16705,eterogenea,10,518
1,test_id,172,0.33037883043289185,-896.8648681640625,16705,eterogenea,10,518
1,test_ood,150,0.0682465061545372,-71.00566864013672,16705,eterogenea,10,518
2,train,518,0.8208010196685791,0.21037304401397705,16705,eterogenea,10,518
2,validation,158,0.02818056009709835,-16.418960571289062,16705,eterogenea,10,518
2,test_id,172,0.34505119919776917,-978.3853759765625,16705,eterogenea,10,518
2,test_ood,150,0.04850342497229576,-35.37062072753906,16705,eterogenea,10,518
0,train,533,0.7378806471824646,0.34337878227233887,16705,eterogenea,11,533
0,validation,158,0.05035795643925667,-54.62361145019531,16705,eterogenea,11,533
0,test_id,172,0.44019052386283875,-1592.925048828125,16705,eterogenea,11,533
0,test_ood,150,0.07630275189876556,-89.00906372070312,16705,eterogenea,11,533
1,train,533,0.8211107850074768,0.18689578771591187,16705,eterogenea,11,533
1,validation,158,0.038804735988378525,-32.02877426147461,16705,eterogenea,11,533
1,test_id,172,0.22505532205104828,-415.6439514160156,16705,eterogenea,11,533
1,test_ood,150,0.054974235594272614,-45.72230529785156,16705,eterogenea,11,533
2,train,533,0.7793064117431641,0.267581582069397,16705,eterogenea,11,533
2,validation,158,0.03044756129384041,-19.334243774414062,16705,eterogenea,11,533
2,test_id,172,0.28707730770111084,-676.9290161132812,16705,eterogenea,11,533
2,test_ood,150,0.029110504314303398,-12.10102653503418,16705,eterogenea,11,533
