modello,seme,insieme,epoche,MAE,RMSE,SS
LSTM,0,train,150,0.004920232109725475,0.009377238585635746,0.10136384088024875
LSTM,0,validation,150,0.005600300617516041,0.008737423147660755,-0.674517618959235
LSTM,0,test_id,150,0.02860928140580654,0.03747979802122395,-10.555294016814505
LSTM,0,test_ood,150,0.012507522478699684,0.016905946403164302,-3.4186017056156635
LSTM,1,train,92,0.00881086103618145,0.01246912739136737,-0.5889348177942877
LSTM,1,validation,92,0.019821906462311745,0.024893936907324932,-12.592838371330505
LSTM,1,test_id,92,0.06617795675992966,0.09016438469805661,-65.87388642871696
LSTM,1,test_ood,92,0.023825591430068016,0.03282202414957535,-15.654691849141372
LSTM,2,train,119,0.005416390486061573,0.008893067766281734,0.19176591580825397
LSTM,2,validation,119,0.021651513874530792,0.027526669385327586,-15.619973127773623
LSTM,2,test_id,119,0.04169928655028343,0.05436187470972377,-23.30946310847359
LSTM,2,test_ood,119,0.009820312261581421,0.012984071247339912,-1.6063195405647552
LSTM,3,train,150,0.005883908364921808,0.009917230557432308,-0.0051127395544043885
LSTM,3,validation,150,0.01160266250371933,0.015493683047398088,-4.265411512286487
LSTM,3,test_id,150,0.023602129891514778,0.02915286691809077,-5.991157027227029
LSTM,3,test_ood,150,0.02040640078485012,0.027524960742371547,-10.712761408969246
LSTM,4,train,36,0.015130993910133839,0.01974524448994646,-2.984363831288146
LSTM,4,validation,36,0.05064214766025543,0.055510048536004726,-66.5874712673212
LSTM,4,test_id,36,0.05459105223417282,0.0639135686640586,-32.60258214709208
LSTM,4,test_ood,36,0.020737873390316963,0.027069473478944315,-10.328319710417663
LSTM,5,train,21,0.04471373185515404,0.05456839303796238,-29.43100441288783
LSTM,5,validation,21,0.04330267757177353,0.05826162544138154,-73.45402444226724
LSTM,5,test_id,21,0.0993238240480423,0.11174383265349665,-101.71494610112691
LSTM,5,test_ood,21,0.11250632256269455,0.12312125047188235,-233.35375456479693
LSTM,6,train,81,0.006863653659820557,0.010499565990453026,-0.1266179144939128
LSTM,6,validation,81,0.012475586496293545,0.015580526123746765,-4.324602865423897
LSTM,6,test_id,81,0.020816553384065628,0.027550157762033466,-5.243594608460784
LSTM,6,test_ood,81,0.02260540798306465,0.032798689890715424,-15.631019528022637
LSTM,7,train,92,0.007217640522867441,0.010487433962944754,-0.12401585210256294
LSTM,7,validation,92,0.021624214947223663,0.025623459820575113,-13.401194775125045
LSTM,7,test_id,92,0.0208966676145792,0.027186088217056547,-5.079669350338246
LSTM,7,test_ood,92,0.022927885875105858,0.030917322853315707,-13.77779516301661
LSTM,8,train,101,0.00841842032968998,0.011539297181560094,-0.3607949042585441
LSTM,8,validation,101,0.014108826406300068,0.018288503729975057,-6.336338039138205
LSTM,8,test_id,101,0.03239677846431732,0.04323396869112814,-14.375764695573773
LSTM,8,test_ood,101,0.0172156672924757,0.021930447409659087,-6.435340541020883
LSTM,9,train,35,0.016430817544460297,0.021334102952411615,-3.6513897432759173
LSTM,9,validation,35,0.016036706045269966,0.021617756458289002,-9.250480493856557
LSTM,9,test_id,35,0.03861556202173233,0.04829460252221283,-18.185967691080823
LSTM,9,test_ood,35,0.0779128298163414,0.08170593275624882,-102.20792931869299
GRU,0,train,55,0.01642220839858055,0.021252328619309854,-3.6158002159784655
GRU,0,validation,55,0.02463572844862938,0.02880255284255091,-17.196377914981433
GRU,0,test_id,55,0.025519363582134247,0.033855314227669575,-8.42844809981544
GRU,0,test_ood,55,0.030246756970882416,0.035512716392197184,-18.49726373713519
GRU,1,train,76,0.012783164158463478,0.017424557519692702,-2.102826376319909
GRU,1,validation,76,0.039024293422698975,0.047017536413525796,-47.48894365402591
GRU,1,test_id,76,0.05551264062523842,0.06652381251750795,-35.40330199576776
GRU,1,test_ood,76,0.025725625455379486,0.03534112935728396,-18.309308783026406
GRU,2,train,114,0.005913299974054098,0.010116569237109007,-0.04592483226646604
GRU,2,validation,114,0.017918631434440613,0.022699398950732304,-10.301906223622312
GRU,2,test_id,114,0.010338331572711468,0.014715448724676594,-0.7812855145177542
GRU,2,test_ood,114,0.009760886430740356,0.013883182311573067,-1.9797781676020763
GRU,3,train,96,0.007112222258001566,0.01073455979998588,-0.17761258210263797
GRU,3,validation,96,0.015077279880642891,0.01959625616859675,-7.423046532935395
GRU,3,test_id,96,0.018138254061341286,0.020171451846121465,-2.347039458327518
