seme,insieme,RMSE,SS,configurazione
0,test_id,0.010695241391658783,0.059047579765319824,M0 + voltage_min_rel
0,test_ood,0.009371606633067131,-0.35779428482055664,M0 + voltage_min_rel
1,train,0.010007595643401146,-0.023513317108154297,M0 + voltage_min_rel
1,validation,0.029247289523482323,-17.762651443481445,M0 + voltage_min_rel
1,test_id,0.011288003996014595,-0.048143625259399414,M0 + voltage_min_rel
1,test_ood,0.01203746534883976,-1.2401442527770996,M0 + voltage_min_rel
2,train,0.009611313231289387,0.055940449237823486,M0 + voltage_min_rel
2,validation,0.01961921527981758,-7.442795753479004,M0 + voltage_min_rel
2,test_id,0.01086464338004589,0.029003918170928955,M0 + voltage_min_rel
2,test_ood,0.007531249430030584,0.12312048673629761,M0 + voltage_min_rel
3,train,0.009546616114675999,0.0686071515083313,M0 + voltage_min_rel
3,validation,0.02117360383272171,-8.833600997924805,M0 + voltage_min_rel
3,test_id,0.010782592929899693,0.04361456632614136,M0 + voltage_min_rel
3,test_ood,0.0074912928976118565,0.13240021467208862,M0 + voltage_min_rel
4,train,0.009701661765575409,0.038108229637145996,M0 + voltage_min_rel
4,validation,0.056840501725673676,-69.86614227294922,M0 + voltage_min_rel
4,test_id,0.011589077301323414,-0.10480141639709473,M0 + voltage_min_rel
4,test_ood,0.008406278677284718,-0.09247982501983643,M0 + voltage_min_rel
5,train,0.012164323590695858,-0.5122021436691284,M0 + voltage_min_rel
5,validation,0.03410710394382477,-24.516002655029297,M0 + voltage_min_rel
5,test_id,0.013122976757586002,-0.4166131019592285,M0 + voltage_min_rel
5,test_ood,0.011519434861838818,-1.0514845848083496,M0 + voltage_min_rel
0,train,0.00926416926085949,0.12290436029434204,M0 + voltage_max_rel
0,validation,0.006036229431629181,0.20080184936523438,M0 + voltage_max_rel
0,test_id,0.010739953257143497,0.051163673400878906,M0 + voltage_max_rel
0,test_ood,0.009318429976701736,-0.34242916107177734,M0 + voltage_max_rel
1,train,0.009232408367097378,0.1289082169532776,M0 + voltage_max_rel
1,validation,0.005945038516074419,0.22476685047149658,M0 + voltage_max_rel
1,test_id,0.010801772587001324,0.040209293365478516,M0 + voltage_max_rel
1,test_ood,0.008300717920064926,-0.06521475315093994,M0 + voltage_max_rel
2,train,0.00919480063021183,0.1359904408454895,M0 + voltage_max_rel
2,validation,0.005864233709871769,0.2456974983215332,M0 + voltage_max_rel
2,test_id,0.010818790644407272,0.03718256950378418,M0 + voltage_max_rel
2,test_ood,0.008092439733445644,-0.012429475784301758,M0 + voltage_max_rel
3,train,0.009382406249642372,0.10037308931350708,M0 + voltage_max_rel
3,validation,0.005922350101172924,0.2306727170944214,M0 + voltage_max_rel
3,test_id,0.010769089683890343,0.046008527278900146,M0 + voltage_max_rel
3,test_ood,0.008031829260289669,0.0026794075965881348,M0 + voltage_max_rel
4,train,0.009500933811068535,0.07749974727630615,M0 + voltage_max_rel
4,validation,0.006111474707722664,0.180752694606781,M0 + voltage_max_rel
4,test_id,0.010243222117424011,0.13690286874771118,M0 + voltage_max_rel
4,test_ood,0.010414278134703636,-0.6767340898513794,M0 + voltage_max_rel
5,train,0.009097275324165821,0.1542215347290039,M0 + voltage_max_rel
5,validation,0.005752974655479193,0.2740480303764343,M0 + voltage_max_rel
5,test_id,0.010834364220499992,0.03440868854522705,M0 + voltage_max_rel
5,test_ood,0.008584952913224697,-0.13941442966461182,M0 + voltage_max_rel
0,train,0.010506294667720795,-0.12806248664855957,M0 + voltage_std_rel
0,validation,0.01456674374639988,-3.654231071472168,M0 + voltage_std_rel
0,test_id,0.012457449920475483,-0.27657055854797363,M0 + voltage_std_rel
0,test_ood,0.009584628976881504,-0.4202229976654053,M0 + voltage_std_rel
1,train,0.009779136627912521,0.022684156894683838,M0 + voltage_std_rel
1,validation,0.014118381775915623,-3.3721275329589844,M0 + voltage_std_rel
1,test_id,0.010946529917418957,0.014312028884887695,M0 + voltage_std_rel
1,test_ood,0.007969030179083347,0.018214106559753418,M0 + voltage_std_rel
2,train,0.00975920632481575,0.026663661003112793,M0 + voltage_std_rel
2,validation,0.006527204066514969,0.06550413370132446,M0 + voltage_std_rel
2,test_id,0.010826753452420235,0.03576481342315674,M0 + voltage_std_rel
2,test_ood,0.007917576469480991,0.030851244926452637,M0 + voltage_std_rel
3,train,0.009823603555560112,0.013775944709777832,M0 + voltage_std_rel
3,validation,0.01102385949343443,-1.6655712127685547,M0 + voltage_std_rel
3,test_id,0.0114345233887434,-0.0755302906036377,M0 + voltage_std_rel
3,test_ood,0.007692396640777588,0.08519351482391357,M0 + voltage_std_rel
4,train,0.009725801646709442,0.03331547975540161,M0 + voltage_std_rel
4,validation,0.006654550787061453,0.028684139251708984,M0 + voltage_std_rel
4,test_id,0.010964224115014076,0.01112288236618042,M0 + voltage_std_rel
4,test_ood,0.007799290120601654,0.05959266424179077,M0 + voltage_std_rel
5,train,0.009499207139015198,0.07783490419387817,M0 + voltage_std_rel
5,validation,0.011039392091333866,-1.6730883121490479,M0 + voltage_std_rel
5,test_id,0.010757166892290115,0.04811978340148926,M0 + voltage_std_rel
5,test_ood,0.007467164658010006,0.13797998428344727,M0 + voltage_std_rel
0,train,0.0135494414716959,-0.8761895895004272,M0 + temperature_mean_rise_rel
0,validation,0.009417962282896042,-0.945525050163269,M0 + temperature_mean_rise_rel
0,test_id,0.014330616220831871,-0.6893367767333984,M0 + temperature_mean_rise_rel
0,test_ood,0.009765497408807278,-0.4743298292160034,M0 + temperature_mean_rise_rel
1,train,0.009717792272567749,0.034906983375549316,M0 + temperature_mean_rise_rel
1,validation,0.006515264976769686,0.06891965866088867,M0 + temperature_mean_rise_rel
1,test_id,0.010854164138436317,0.0308760404586792,M0 + temperature_mean_rise_rel
1,test_ood,0.007653013803064823,0.0945366621017456,M0 + temperature_mean_rise_rel
2,train,0.009651229716837406,0.04808253049850464,M0 + temperature_mean_rise_rel
2,validation,0.006577418185770512,0.05107063055038452,M0 + temperature_mean_rise_rel
2,test_id,0.010816206224262714,0.03764241933822632,M0 + temperature_mean_rise_rel
2,test_ood,0.00756083382293582,0.11621779203414917,M0 + temperature_mean_rise_rel
3,train,0.009415226057171822,0.09406834840774536,M0 + temperature_mean_rise_rel
3,validation,0.006769666913896799,-0.005211830139160156,M0 + temperature_mean_rise_rel
3,test_id,0.011055609211325645,-0.005430102348327637,M0 + temperature_mean_rise_rel
3,test_ood,0.0077982801012694836,0.05983614921569824,M0 + temperature_mean_rise_rel
4,train,0.009554046206176281,0.0671568512916565,M0 + temperature_mean_rise_rel
4,validation,0.006820173002779484,-0.02026689052581787,M0 + temperature_mean_rise_rel
4,test_id,0.011600161902606487,-0.10691583156585693,M0 + temperature_mean_rise_rel
4,test_ood,0.007264379411935806,0.1841639280319214,M0 + temperature_mean_rise_rel
5,train,0.0095144622027874,0.07487058639526367,M0 + temperature_mean_rise_rel
