seme,insieme,n_finestre,RMSE,SS,parametri,modello,n_blocchi,n_finestre_train
1,test_id,172,0.014250027015805244,-0.6703901290893555,16705,GRU,4,674
1,test_ood,150,0.00997687503695488,-0.5388451814651489,16705,GRU,4,674
2,train,674,0.029330965131521225,0.46409928798675537,16705,GRU,4,674
2,validation,158,0.0066051241010427475,0.043059468269348145,16705,GRU,4,674
2,test_id,172,0.01937975361943245,-2.089462995529175,16705,GRU,4,674
2,test_ood,150,0.007742309011518955,0.07328355312347412,16705,GRU,4,674
0,train,674,0.04258421063423157,-0.12961089611053467,9985,Transformer,4,674
0,validation,158,0.00840265117585659,-0.5486583709716797,9985,Transformer,4,674
0,test_id,172,0.014998989179730415,-0.8505911827087402,9985,Transformer,4,674
0,test_ood,150,0.011008518747985363,-0.8735429048538208,9985,Transformer,4,674
1,train,674,0.04093889147043228,-0.04400789737701416,9985,Transformer,4,674
1,validation,158,0.009496165439486504,-0.9779691696166992,9985,Transformer,4,674
1,test_id,172,0.021652864292263985,-2.8567118644714355,9985,Transformer,4,674
1,test_ood,150,0.012676346115767956,-1.4842429161071777,9985,Transformer,4,674
2,train,674,0.10893628746271133,-6.392251968383789,9985,Transformer,4,674
2,validation,158,0.04167557880282402,-37.09660339355469,9985,Transformer,4,674
2,test_id,172,0.09853842109441757,-78.8725814819336,9985,Transformer,4,674
2,test_ood,150,0.14456230401992798,-322.0843811035156,9985,Transformer,4,674
0,train,860,0.02871181070804596,0.4792766571044922,16705,GRU,5,860
0,validation,158,0.007711058482527733,-0.30422043800354004,16705,GRU,5,860
0,test_id,172,0.02275642193853855,-3.2598519325256348,16705,GRU,5,860
0,test_ood,150,0.008023204281926155,0.004820108413696289,16705,GRU,5,860
1,train,860,0.02977522276341915,0.4399898648262024,16705,GRU,5,860
1,validation,158,0.006922199856489897,-0.05102062225341797,16705,GRU,5,860
1,test_id,172,0.013340791687369347,-0.46402907371520996,16705,GRU,5,860
1,test_ood,150,0.00851999968290329,-0.12223803997039795,16705,GRU,5,860
2,train,860,0.0316903181374073,0.3656351566314697,16705,GRU,5,860
2,validation,158,0.00667210528627038,0.02355283498764038,16705,GRU,5,860
2,test_id,172,0.015379311516880989,-0.9456303119659424,16705,GRU,5,860
2,test_ood,150,0.008815877139568329,-0.2015364170074463,16705,GRU,5,860
0,train,860,0.040953319519758224,-0.0594099760055542,9985,Transformer,5,860
0,validation,158,0.007903472520411015,-0.3701210021972656,9985,Transformer,5,860
0,test_id,172,0.016667550429701805,-1.2852308750152588,9985,Transformer,5,860
0,test_ood,150,0.014173630625009537,-2.1057612895965576,9985,Transformer,5,860
1,train,860,0.03321929648518562,0.3029455542564392,9985,Transformer,5,860
1,validation,158,0.006755036301910877,-0.0008715391159057617,9985,Transformer,5,860
1,test_id,172,0.017135484144091606,-1.4153454303741455,9985,Transformer,5,860
1,test_ood,150,0.009471031837165356,-0.38675737380981445,9985,Transformer,5,860
2,train,860,0.03845257684588432,0.0660216212272644,9985,Transformer,5,860
2,validation,158,0.007291274145245552,-0.16608405113220215,9985,Transformer,5,860
2,test_id,172,0.011923523619771004,-0.16948795318603516,9985,Transformer,5,860
2,test_ood,150,0.010733138769865036,-0.780981183052063,9985,Transformer,5,860
0,train,885,0.02992866560816765,0.41800832748413086,16705,GRU,6,885
0,validation,158,0.008348662406206131,-0.5288214683532715,16705,GRU,6,885
0,test_id,172,0.01153598167002201,-0.09470129013061523,16705,GRU,6,885
0,test_ood,150,0.008080584928393364,-0.009465575218200684,16705,GRU,6,885
1,train,885,0.029108533635735512,0.44946783781051636,16705,GRU,6,885
1,validation,158,0.006964579690247774,-0.06392931938171387,16705,GRU,6,885
1,test_id,172,0.016268162056803703,-1.177025556564331,16705,GRU,6,885
1,test_ood,150,0.008347569033503532,-0.07727336883544922,16705,GRU,6,885
2,train,885,0.028093472123146057,0.487194299697876,16705,GRU,6,885
2,validation,158,0.006583116482943296,0.049425721168518066,16705,GRU,6,885
2,test_id,172,0.026279844343662262,-4.681095123291016,16705,GRU,6,885
2,test_ood,150,0.008087383583188057,-0.01116478443145752,16705,GRU,6,885
